cnae;descripcion;puntuacion;motivo
111;Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas;2;Riesgo bajo, ya que se trata de cultivos sin procesos industriales significativos.
112;Cultivo de arroz;2;Riesgo bajo, el cultivo de arroz no implica vertidos significativos.
113;Cultivo de hortalizas, raíces y tubérculos;2;Riesgo bajo, se trata de cultivos sin procesos industriales relevantes.
114;Cultivo de caña de azúcar;2;Riesgo bajo, el cultivo de caña de azúcar no genera vertidos industriales.
115;Cultivo de tabaco;2;Riesgo bajo, el cultivo de tabaco no implica procesos con riesgo de vertido.
116;Cultivo de plantas para fibras textiles;2;Riesgo bajo, el cultivo de plantas para fibras tiene poco riesgo de vertidos.
119;Otros cultivos no perennes;2;Riesgo bajo, se trata de cultivos no perennes sin actividades industriales.
121;Cultivo de la vid;2;Riesgo bajo, el cultivo de la vid no genera vertidos industriales importantes.
122;Cultivo de frutos tropicales y subtropicales;2;Riesgo bajo, el cultivo de frutos tropicales no implica vertidos significativos.
123;Cultivo de cítricos;2;Riesgo bajo, los cultivos de cítricos no generan vertidos industriales.
124;Cultivo de frutos con hueso y pepitas;2;Riesgo bajo, el cultivo de frutos con hueso no implica procesos industriales.
125;Cultivo de otros árboles y arbustos frutales y frutos secos;2;Riesgo bajo, el cultivo de árboles frutales tiene poco riesgo de vertidos.
126;Cultivo de frutos oleaginosos;2;Riesgo bajo, el cultivo de frutos oleaginosos no genera vertidos peligrosos.
127;Cultivo de plantas para bebidas;2;Riesgo bajo, el cultivo de plantas para bebidas no consuma procesos peligrosos.
128;Cultivo de especias, plantas aromáticas, medicinales y farmacéuticas;2;Riesgo bajo, el cultivo de especias no implica vertidos industriales significativos.
129;Otros cultivos perennes;2;Riesgo bajo, otros cultivos perennes no generan riesgos de vertido.
130;Propagación de plantas;2;Riesgo bajo, la propagación de plantas no genera vertidos peligrosos.
141;Explotación de ganado bovino para la producción de leche;6;Riesgo medio, la explotación de ganado para leche puede generar residuos.
142;Explotación de otro ganado bovino y búfalos;6;Riesgo medio, la explotación de ganado bovino puede generar vertidos relacionados.
143;Explotación de caballos y otros equinos;2;Riesgo bajo, la explotación de caballos no implica vertidos industriales.
144;Explotación de camellos y otros camélidos;2;Riesgo bajo, la explotación de camellos no genera vertidos significativos.
145;Explotación de ganado ovino y caprino;2;Riesgo bajo, la explotación de ganado ovino y caprino no implica riesgos altos.
146;Explotación de ganado porcino;4;Riesgo medio-bajo debido a la necesidad de manejo de residuos orgánicos.
146;Explotación de ganado porcino;4;Riesgo medio-bajo debido a la necesidad de manejo de residuos orgánicos.
147;Avicultura;4;Riesgo medio-bajo por el manejo de residuos avícolas.
149;Otras explotaciones de ganado;4;Riesgo medio-bajo al involucrar diversas explotaciones ganaderas.
150;Producción agrícola combinada con la producción ganadera;4;Riesgo medio-bajo por la integración de procesos agrícolas y ganaderos.
161;Actividades de apoyo a la agricultura;2;Riesgo bajo, ya que son actividades de apoyo sin manipulación directa de productos químicos.
162;Actividades de apoyo a la ganadería;2;Riesgo bajo, actividades de apoyo a la ganadería sin generación significativa de vertidos.
163;Actividades de preparación posterior a la cosecha;2;Riesgo bajo, actividades de preparación sin manejo de productos peligrosos.
163;Actividades de preparación posterior a la cosecha;2;Riesgo bajo, actividades de preparación sin manejo de productos peligrosos.
163;Actividades de preparación posterior a la cosecha;2;Riesgo bajo, actividades de preparación sin manejo de productos peligrosos.
164;Tratamiento de semillas para reproducción;4;Riesgo medio-bajo, tratamientos que pueden involucrar productos químicos.
164;Tratamiento de semillas para reproducción;4;Riesgo medio-bajo, tratamientos que pueden involucrar productos químicos.
