razon_social,objeto_social,cif,forma_juridica,actividad,actividad_cnae,sector,estado_empresa,fecha_constitucion,fecha_ultimo_cambio,direccion,telefono,web,email,url
Andreu Tops Sl,Objeto socialFabricación y venta de mesas.,CIFB96765417,Forma jurídicaSociedad limitada unipersonal,Actividades relacionadas,Actividad CNAE3109 - Fabricación de otros muebles,SectorIndustria,Estado de la empresaViva,Fecha de constitución1-12-1998,Fecha último cambio9-2-2025,"Poligono industrial la pahilla, parc 206, chiva, 46370, valencia",962521533,,andreutops@andreutops.com,https://empresite.eleconomista.es/ANDREU-TOPS.html
Tohsmi Sl (en Liquidacion),"Objeto socialLa intermediacion en el ambito de la hosteleria; la prestacion de servicios de asesoramiento en el ambito financiero y contable; la prestacion de servicios de control y recuperacion de morosidad, confeccion de facturas,",CIFB97523682,Forma jurídicaSociedad limitada,"CNAE 4619. Intermediarios del comercio de productos diversos. Si alguna de las actividades elegidas fuera de carácter profesional, la sociedad la ejercerá como mera intermediadora entre el profesional prestador del servicio y el consumidor. Quedan excluidas todas aquellas activi",Actividad CNAE4619 - Intermediarios del comercio de productos diversos,SectorComercio,Estado de la empresaDisolución,Fecha de constitución20-12-2004,,"Calle la paz, 12 - bj, chiva, 46370, valencia",,,alan@transcat.net,https://empresite.eleconomista.es/TOHSMI.html
Logistica Chiva S.l.,Objeto socialEl transporte de mercancias por carretera,CIFB97523138,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE4941 - Transporte de mercancías por carretera,SectorTransportes,Estado de la empresaCierre de hoja registral,Fecha de constitución22-12-2004,,"Calle las peñas, 68 - bajo, chiva, 46370, valencia",,,,https://empresite.eleconomista.es/LOGISTICA-CHIVA.html
Representaciones Martinez Navarro Sociedad Limitada,Objeto socialLa mediacion y comercio al por mayor de productos carnicos y productos carnicos elaborados.,CIFB96977699,Forma jurídicaSociedad limitada,"ActividadComercio al por mayor de leche, productos lácteos, miel, aceites y grasas comestibles","Actividad CNAE4633 - Comercio al por mayor de productos lácteos, huevos, aceites y grasas comestibles",SectorComercio,Estado de la empresaViva,Fecha de constitución6-6-2000,Fecha último cambio17-8-2025,"Calle collao, chiva, 46370, valencia",,,info@rodrigorodrigoabogados.com,https://empresite.eleconomista.es/REPRESENTACIONES-MARTINEZ-NAVARRO.html
Exclusivas Resimart Iberica Sl,Objeto socialConstruccion de maquinas para prefabricados de hormigón.,CIFB46131918,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE2891 - Fabricación de maquinaria para la industria metalúrgica,SectorIndustria,Estado de la empresaViva,Fecha de constitución23-1-1980,Fecha último cambio31-8-2025,"Calle collao, 60, chiva, 46370, valencia",962520291,,resimart@resimart.com,https://empresite.eleconomista.es/EXCLUSIVAS-RESIMART-IBERICA.html
Bondia Salvo Sl,Objeto socialFabricacion y venta de productos de pasteleria panaderia y alimentacion.,CIFB96711072,Forma jurídicaSociedad limitada,"10.72 / Fabricación de galletas y productos de panadería y pastelería de larga duración. Otras actividades: 47.29 / Comercio al por menor de productos alimenticios en establecimientos especializados, 11.04 / Elaboración de otras bebidas no destiladas, procedentes de la fermentac",Actividad CNAE1072 - Fabricación de galletas y productos de panadería y pastelería de larga duración,SectorIndustria,Estado de la empresaViva,Fecha de constitución17-3-1998,Fecha último cambio15-12-2024,"Avenida ramon y cajal, 27, chiva, 46370, valencia",962521554,,info@bonsa.es,https://empresite.eleconomista.es/BONDIA-SALVO.html
Europea De Materias Primas Sl,Objeto socialDistribución al mayor de metales y minerales,CIFB96714886,Forma jurídicaSociedad limitada unipersonal,Actividades relacionadas,Actividad CNAE4672 - Comercio al por mayor de metales y minerales metálicos,SectorComercio,Estado de la empresaViva,Fecha de constitución24-2-1998,Fecha último cambio12-10-2025,"Calle urrea, 6 - 6, chiva, 46370, valencia",964342626,,administracion@euromapsa.com,https://empresite.eleconomista.es/EUROPEA-MATERIAS-PRIMAS.html
Valenciana De Gomas Sl,"Objeto socialDistribucion para carpinteria de aluminio (siliconas,...)",CIFB96441555,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE4676 - Comercio al por mayor de otros productos semielaborados,SectorComercio,Estado de la empresaViva,Fecha de constitución11-8-1995,Fecha último cambio17-8-2025,"Calle fuente corachan (pg ind la pahilla ), 222, chiva, 46370, valencia",962524469,,valgom@valgom.com,https://empresite.eleconomista.es/VALENCIANA-GOMAS.html
Industrial Mora De Barnices Sl,"Objeto socialLa fabricacion y comercializacion de barnices lacas aceites pinturas, disolventes y productos quimicos",CIFB96801360,Forma jurídicaSociedad limitada,Actividades relacionadas,"Actividad CNAE2030 - Fabricación de pinturas, barnices y revestimientos similares; tintas de imprenta y masillas",SectorIndustria,Estado de la empresaViva,Fecha de constitución28-1-1999,Fecha último cambio17-8-2025,"Poligono industrial la pahilla, 21, chiva, 46370, valencia",961644993,,,https://empresite.eleconomista.es/INDUSTRIAL-MORA-BARNICES.html
Juan Alarcon Hosteleros Sl,Objeto socialEl servicio de hosteleria y hospedaje.,CIFB96128301,Forma jurídicaSociedad limitada,Restaurantes y puestos de comida. CNAE. 5610,Actividad CNAE5610 - Restaurantes y puestos de comidas,SectorHostelería,Estado de la empresaViva,Fecha de constitución25-2-1993,Fecha último cambio26-10-2025,"Avenida reino de valencia, 4, chiva, 46370, valencia",962522866,,,https://empresite.eleconomista.es/JUAN-ALARCON-HOSTELEROS.html
"Porvasal, Sa (en Liquidacion)",Objeto socialFabricación de vajillas para hostelería.,CIFA46892196,Forma jurídicaSociedad anónima,Actividades relacionadas,Actividad CNAE2341 - Fabricación de artículos cerámicos de uso doméstico y ornamental,SectorIndustria,Estado de la empresaDisolución,Fecha de constitución10-5-1991,,"Carretera a-3, salida 323, chiva, 46370, valencia",962522066,,,https://empresite.eleconomista.es/PORVASAL.html
Colegio Internacional De Levante Sa,Objeto socialGestión de centro educativo desde infantil hasta bachillerato,CIFA96309323,Forma jurídicaSociedad anónima,"La formación y la enseñanza, tanto regladas como no regladas -CNAE 85.32 Educación secundaria técnica y profesional-. Otras actividades: - Orientar, formar y acompañar en la inserción a mujeres desempleadas y del medio rural o municipios despoblados. - Formar en Nuevas tecnologí.",Actividad CNAE8531 - Educación secundaria general,SectorEducación,Estado de la empresaViva,Fecha de constitución30-9-1994,Fecha último cambio15-12-2024,"Calle rio jalon, 25, chiva, 46370, valencia",961980650,,cil@sekmail.com,https://empresite.eleconomista.es/COLEGIO-INTERNACIONAL-LEVANTE.html
Crowley Investment Sociedad Anonima.,"Objeto socialA) la compraventa e intermediacion de toda clase de fincas rusticas y urbanas, la promocion y construccion sobre las mismas de toda clase de edificaciones, su rehabilitacion, venta o arrendamiento no financiero, y la con",CIFA97728364,Forma jurídicaSociedad anónima,Actividades relacionadas,Actividad CNAE4110 - Promoción inmobiliaria,SectorConstrucción y actividades inmobiliarias,Estado de la empresaCierre de hoja registral,Fecha de constitución2-6-2006,,"Urbanizacion el bosque, 60, chiva, 46370, valencia",961318604,,,https://empresite.eleconomista.es/CROWLEY-INVESTMENT.html
Segocisternas Sl,"Objeto socialTransporte de mercancias por cuenta ajena al servicio publico.- almacenaje, deposito y distribucion de mercancias. agencia de transportes",CIFB40219164,Forma jurídicaSociedad limitada unipersonal,Actividades relacionadas,Actividad CNAE4941 - Transporte de mercancías por carretera,SectorTransportes,Estado de la empresaCierre de hoja registral,Fecha de constitución9-2-2007,Fecha último cambio3-8-2025,"Avenida estacion, 8 - piso 2, chiva, 46370, valencia",,,,https://empresite.eleconomista.es/SEGOCISTERNAS.html
Jose Morera Sl,"Objeto socialProducción,fabricación y comercialización de productos químicos,fitosanitarios y afines.",CIFB46030268,Forma jurídicaSociedad limitada unipersonal,Actividades relacionadas,Actividad CNAE2020 - Fabricación de pesticidas y otros productos agroquímicos,SectorIndustria,Estado de la empresaViva,Fecha de constitución7-5-1965,Fecha último cambio21-9-2025,"Poligono 14, par 627, chiva, 46370, valencia",963915944,,mail@morera.com,https://empresite.eleconomista.es/JOSE-MORERA.html
