razon_social,objeto_social,cif,forma_juridica,actividad,actividad_cnae,sector,estado_empresa,fecha_constitucion,fecha_ultimo_cambio,direccion,telefono,web,email,url
Instalaciones Petro Silla Sl,"Objeto socialLa reparacion, mantenimiento, limpieza, comercializacion e instalacion de cualquier tipo de maquinaria, elemento de transporte o herramienta utilizada en la industria petrolifera, asi como el montaje e instalacion de est",CIFB97575567,Forma jurídicaSociedad limitada unipersonal,Actividades relacionadas,"Actividad CNAE4614 - Intermediarios del comercio de maquinaria, equipo industrial, embarcaciones y aeronaves",SectorComercio,Estado de la empresaViva,Fecha de constitución28-6-2005,Fecha último cambio30-11-2025,"Poligono industrial cañada de codonyers, cl principal nume, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/INSTALACIONES-PETRO-SILLA.html
D D Cargo Sociedad Limitada.,Objeto socialTransporte internacional de muebles.,CIFB46685590,Forma jurídicaSociedad limitada unipersonal,ACTIVIDADES AUXILIARES Y COMPLEMENTARIAS TRANSPORTE,Actividad CNAE5229 - Otras actividades anexas al transporte,SectorTransportes,Estado de la empresaViva,Fecha de constitución7-5-1990,Fecha último cambio24-8-2025,"Poligono industrial, 1 - parc. d -5, picassent, 46220, valencia",961221850,,central@ddcargo.es,https://empresite.eleconomista.es/DD-CARGO.html
Inversions L'almud Sl,"Objeto socialA) la compraventa y explotacion de toda clase de fincas rusticas o urbanas. b) la urbanizacion, parcelacion, construccion , promocion y rehabilitacion, por cuenta propia o ajena, en todo tipo de fincas rusticas y urbanas",CIFB96962451,Forma jurídicaSociedad limitada,"Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal. CNAE 69.20. Otras actividades de consultoría de gestión empresarial. CNAE 70.20. Servicios de intermediación para actividades inmobiliarias. CNAE 68.31 Otras actividades inmobiliarias por cuenta de terceros. CNAE 68.32. A","Actividad CNAE6920 - Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",SectorServicios empresariales,Estado de la empresaIncumplimiento de la obligación de depósito de cuentas,Fecha de constitución21-7-2000,,"Calle del mig, 2, picassent, 46220, valencia",961232272,,,https://empresite.eleconomista.es/INVERSIONS-ALMUD.html
Pasamaneria Valenciana Sl,"Objeto socialFabricación de cuerdas, cordeles, bramantes y redes.",CIFB46656872,Forma jurídicaSociedad limitada,Actividades relacionadas,"Actividad CNAE1394 - Fabricación de cuerdas, cordeles, bramantes y redes",SectorIndustria,Estado de la empresaCierre de hoja registral,Fecha de constitución2-1-1990,,"Calle mestre chapi, 6, picassent, 46220, valencia",,,info@pasamaneriavalenciana.com,https://empresite.eleconomista.es/PASAMANERIA-VALENCIANA.html
Talleres Bensa Sociedad Limitada,Objeto socialConstruccion de instalaciones de aire acondicionado,CIFB46085650,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE2512 - Fabricación de carpintería metálica,SectorIndustria,Estado de la empresaCierre de hoja registral,Fecha de constitución18-6-1975,,"Calle 6 (picassen), s/n, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/TALLERES-BENSA.html
Casa Facil Soluciones Inmobiliarias Sl,"Objeto socialLa compraventa de articulos propios de la venta en hipermercados y grandes superficies, asi como de automoviles y vehiculos de todas clases y fincas rusticas y urbanas, especialmente en subastas publicas.",CIFB96651302,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE6810 - Compraventa de bienes inmobiliarios por cuenta propia,SectorConstrucción y actividades inmobiliarias,Estado de la empresaViva,Fecha de constitución13-8-1997,Fecha último cambio26-10-2025,"Avenida nord, 33 - bj, iz, picassent, 46220, valencia",961221468,,,https://empresite.eleconomista.es/CASA-FACIL-SOLUCIONES-INMOBILIARIAS.html
Qualityoffice Sl (en Liquidacion),"Objeto socialComercio al por mayor de articulos de papeleria, escritorio, dibujo y bellas artes.",CIFB97061550,Forma jurídicaSociedad limitada,"Actividad de los agentes del comercio al por mayor no especializado. Las actividades integrantes del objeto social podrán ser desarrolladas, total o parcialmente, de modo indirecto, mediante la titularidad de acciones o participaciones en sociedades con objeto idéntico o análogo",Actividad CNAE4690 - Comercio al por mayor no especializado,SectorComercio,Estado de la empresaDisolución,Fecha de constitución3-7-2001,,"cl cova fuma, 73, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/QUALITYOFFICE.html
Sonorizacion E Iluminacion Dodinuf Sl,"Objeto socialAlquilar y compraventa de material de iluminacion y sonido de uso profesional, asi como el equipamiento y remodelacion de teatros, salas de audicion y espectaculo, confeccion y montaje de escenografias",CIFB46341244,Forma jurídicaSociedad limitada,Actividades relacionadas,"Actividad CNAE7739 - Alquiler de otra maquinaria, equipos y bienes tangibles n.c.o.p.",SectorServicios empresariales,Estado de la empresaCierre de hoja registral,Fecha de constitución1-7-1986,,"Poligono industrial, 5 - nav 3, picassent, 46220, valencia",961523009,,correo@dodinuf.net,https://empresite.eleconomista.es/SONORIZACION-ILUMINACION-DODINUF.html
Chapas Planex Sl,Objeto socialComercio al por mayor de chapas de madera.,CIFB46398764,Forma jurídicaSociedad limitada unipersonal,Actividades relacionadas,Actividad CNAE4613 - Intermediarios del comercio de la madera y materiales de construcción,SectorComercio,Estado de la empresaIlocalizable,Fecha de constitución8-6-1987,Fecha último cambio18-8-2024,"Urbanizacion tancat de l'alter, 1, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/CHAPAS-PLANEX.html
Comunicaciones Garcamps Sl,"Objeto socialEl comercio al por menor de electrodomesticos, pequeno material electrico, telefonia movil y accesorios de telecomunicaciones. el comercio al por mayor de electrodomesticos, pequeno material electrico, telefonia movil y",CIFB96914924,Forma jurídicaSociedad limitada,"Comercio al por menor de aparatos electrodomésticos en establecimientos especializados. CNAE 4754. Si alguna de las actividades elegidas fuera de carácter profesional, la sociedad la ejercerá como mera intermediadora entre el profesional prestador del servicio y el consumidor",Actividad CNAE4754 - Comercio al por menor de aparatos electrodomésticos en establecimientos especializados,SectorComercio,Estado de la empresaIncumplimiento de la obligación de depósito de cuentas,Fecha de constitución25-11-1999,,"Calle bonavista, 46, picassent, 46220, valencia",961222002,,,https://empresite.eleconomista.es/COMUNICACIONES-GARCAMPS.html
Multiples Transportes Envases De España Sl,Objeto socialLimpieza de cajas de plástico,CIFB96934690,Forma jurídicaSociedad limitada unipersonal,81.22. Otra provisión de recursos humanos. Servicios integrales a edificios e instalaciones. Limpieza general de edificios. Otras actividades.,Actividad CNAE8122 - Otras actividades de limpieza industrial y de edificios,SectorServicios empresariales,Estado de la empresaViva,Fecha de constitución13-1-2000,Fecha último cambio12-1-2025,"Calle 6 (poligono industrial picassent), 5, picassent, 46220, valencia",961241664,,mdgamon@eternity-systems.com,https://empresite.eleconomista.es/MULTIPLES-TRANSPORTES-ENVASES-ESPANA.html
